City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
495,Balabac,PH,7.9868,117.0645,80.96,80,96,14.12,overcast clouds
496,Kwinana,AU,-32.25,115.7667,82.54,59,93,6.73,overcast clouds
497,Noumea,NC,-22.2763,166.4572,69.78,78,13,7.72,few clouds
498,De-Kastri,RU,51.4667,140.7833,-15.81,99,100,3.96,overcast clouds
499,Abu Samrah,SY,35.3029,37.1841,55.24,62,0,7.02,clear sky
500,Kasongo,CD,-4.45,26.6667,80.85,76,99,1.54,overcast clouds
501,Dwarka,IN,22.2394,68.9678,69.69,54,75,12.21,broken clouds
502,Megion,RU,61.0296,76.1136,14.02,99,75,5.97,broken clouds
503,Were Ilu,ET,10.6,39.4333,58.06,38,97,9.57,overcast clouds
504,Adeje,ES,28.1227,-16.726,67.32,57,75,25.32,broken clouds
505,Lere,NG,10.387,8.5726,90.63,13,72,5.41,broken clouds
506,Makakilo City,US,21.3469,-158.0858,70.12,87,0,4.61,clear sky
507,Aksarka,RU,66.5606,67.7975,-7.51,100,14,1.43,few clouds
508,Glasgow,GB,55.8652,-4.2576,42.51,78,75,11.5,broken clouds
509,Kiunga,PG,-6.1219,141.2906,73.18,99,100,2.91,heavy intensity rain
510,Zverinogolovskoye,RU,54.4586,64.8542,5.36,84,96,5.99,overcast clouds
511,Nome,US,64.5011,-165.4064,-16.53,69,0,0.0,clear sky
512,Muhos,FI,64.808,25.9931,29.98,91,100,7.07,overcast clouds
513,Aripuana,BR,-9.1667,-60.6333,80.01,78,100,3.31,overcast clouds
514,Atbasar,KZ,51.8,68.3333,-1.89,78,22,5.06,few clouds
515,Shimanovsk,RU,52.0,127.7,-26.61,87,91,8.3,overcast clouds
516,Tarnow,PL,50.0138,20.987,33.73,100,100,6.53,snow
517,Fare,PF,-16.7,-151.0167,80.6,75,1,18.19,light rain
518,Kautokeino,NO,69.0125,23.0412,24.01,93,99,13.6,overcast clouds
519,Lakatoro,VU,-16.0999,167.4164,77.45,92,100,14.5,light rain
520,Kuhdasht,IR,33.535,47.6061,46.53,42,0,3.83,clear sky
521,Ketchikan,US,55.3422,-131.6461,39.67,93,100,17.27,light rain
522,Dong Hoi,VN,17.4833,106.6,62.89,88,100,7.52,overcast clouds
523,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,80,100,18.41,light snow
524,Biltine,TD,14.5333,20.9167,90.14,10,6,6.29,clear sky
525,Pochinki,RU,54.6988,44.8668,26.08,82,100,14.54,light snow
526,Coruripe,BR,-10.1256,-36.1756,83.88,59,98,12.62,overcast clouds
527,Zhoucheng,CN,35.9122,116.3117,33.78,27,0,16.31,clear sky
528,Hambantota,LK,6.1241,81.1185,77.34,73,20,12.66,few clouds
529,Vao,NC,-22.6667,167.4833,75.36,70,5,12.88,clear sky
530,Kizema,RU,61.113,44.8302,29.19,90,100,12.75,overcast clouds
531,Kirakira,SB,-10.4544,161.9205,79.57,86,100,7.74,moderate rain
532,Talcahuano,CL,-36.7167,-73.1167,58.68,82,75,12.66,broken clouds
533,Cozumel,MX,20.5083,-86.9458,83.07,78,40,14.0,light rain
534,Blagoveshchensk,RU,50.2667,127.5333,-20.94,91,67,8.63,broken clouds
535,Sangar,RU,63.9242,127.4739,-47.09,97,92,3.44,overcast clouds
536,Medenychi,UA,49.4305,23.7507,40.86,93,100,5.46,light rain
537,Opuwo,NA,-18.0607,13.84,78.48,56,100,1.41,light rain
538,Tabou,CI,4.423,-7.3528,84.04,68,55,11.79,broken clouds
539,Ibimirim,BR,-8.5406,-37.6903,90.93,34,93,9.24,overcast clouds
540,Komsomolskiy,UZ,40.4272,71.7189,27.32,63,1,2.3,haze
541,Oudtshoorn,ZA,-33.5907,22.2014,68.36,65,75,12.55,broken clouds
542,Slave Lake,CA,55.2834,-114.769,25.39,74,98,7.99,overcast clouds
543,Thap Than,TH,15.4606,99.8917,75.7,45,95,3.49,overcast clouds
544,Khandbari,NP,27.3747,87.2039,48.15,74,11,2.21,few clouds
545,Morondava,MG,-20.2833,44.2833,84.81,65,90,13.15,light rain
546,Marquette,US,46.5333,-87.6335,26.67,94,100,14.23,snow
547,Talara,PE,-4.5772,-81.2719,84.96,45,0,17.27,clear sky
548,Evensk,RU,61.95,159.2333,-20.67,77,89,11.39,overcast clouds
549,Belgaum,IN,15.8667,74.5,73.31,35,3,2.3,clear sky
550,Dakar,SN,14.6937,-17.4441,94.08,64,24,21.47,few clouds
551,Yatou,CN,37.15,122.3833,32.95,55,1,14.07,clear sky
552,Saravan,AM,39.7196,45.6483,27.97,65,1,6.22,clear sky
553,Kos,GR,36.8933,27.2889,62.04,68,100,22.97,overcast clouds
554,Sambava,MG,-14.2667,50.1667,77.76,82,100,19.26,overcast clouds
555,Alta Floresta,BR,-9.8756,-56.0861,82.8,63,46,1.45,scattered clouds
556,Hovd,MN,48.0056,91.6419,3.7,77,98,1.83,overcast clouds
557,Nurota,UZ,40.5614,65.6886,22.55,82,78,4.36,broken clouds
558,Finschhafen,PG,-6.6024,147.8681,80.53,85,100,9.89,light rain
559,Barra Do Garcas,BR,-15.89,-52.2567,87.55,54,47,2.62,scattered clouds
560,Peleduy,RU,59.6289,112.7406,-47.06,100,56,3.36,broken clouds
561,Atlantic City,US,39.3643,-74.4229,43.0,86,100,3.0,moderate rain
562,Talmenka,RU,53.8183,83.5677,9.99,95,100,8.9,light snow
563,Roma,US,43.2128,-75.4557,34.95,95,100,1.01,light snow
564,Lubartow,PL,51.4603,22.6095,34.23,100,100,8.19,light snow
565,Antofagasta,CL,-23.65,-70.4,72.68,64,31,8.66,scattered clouds
566,Sorland,NO,67.667,12.6934,39.06,70,75,21.85,broken clouds
567,Raga,SS,8.4596,25.678,92.16,15,42,5.41,scattered clouds
568,Mogadishu,SO,2.0371,45.3438,78.82,73,88,23.42,overcast clouds
569,Sheltozero,RU,61.3667,35.3667,34.77,90,100,23.02,light snow
570,El Alto,PE,-4.2714,-81.2147,82.06,58,55,8.01,broken clouds
571,Oga,IT,46.4631,10.347,22.96,89,100,7.0,light snow
572,Fairbanks,US,64.8378,-147.7164,-7.64,80,75,0.0,broken clouds
573,Rio Gallegos,AR,-51.6226,-69.2181,73.53,41,5,10.58,clear sky
574,Mtambile,TZ,-5.3833,39.7,81.63,73,69,16.26,broken clouds
575,Kindu,CD,-2.95,25.95,87.8,54,63,2.51,broken clouds
576,Corner Brook,CA,48.9667,-57.9484,35.01,99,100,3.6,light snow
577,Pangai,TO,-19.8,-174.35,83.01,76,100,11.07,overcast clouds
578,Saveh,IR,35.0213,50.3566,44.78,49,0,4.81,clear sky
579,Uspenka,UA,48.3903,39.1619,35.56,87,44,11.23,scattered clouds
580,Ariquemes,BR,-9.9133,-63.0408,80.04,76,100,3.13,overcast clouds
581,Banswara,IN,23.55,74.45,66.99,35,91,7.78,overcast clouds
582,Yagoua,CM,10.3411,15.2329,94.41,12,99,5.79,overcast clouds
583,Lorengau,PG,-2.0226,147.2712,80.56,82,100,11.34,overcast clouds
584,Rorvik,NO,64.8621,11.2373,37.51,87,40,17.27,scattered clouds
585,Malindi,KE,-3.2175,40.1191,80.65,75,71,16.73,broken clouds
586,Brae,GB,60.3964,-1.353,40.3,62,52,19.98,broken clouds
587,Nabire,ID,-3.3667,135.4833,77.29,87,100,2.42,overcast clouds
588,Olinda,BR,-8.0089,-34.8553,82.13,69,40,9.22,light rain
589,Micheweni,TZ,-4.9667,39.8333,81.99,75,26,15.46,scattered clouds
590,Havelock,US,34.8791,-76.9013,60.8,95,75,4.61,broken clouds
591,Praia,CV,14.9215,-23.5087,79.34,50,20,24.16,few clouds
592,Morant Bay,JM,17.8815,-76.4093,83.71,64,47,10.6,scattered clouds
593,Phuthaditjhaba,ZA,-28.5242,28.8158,82.63,30,77,4.83,broken clouds
594,Sabha,LY,27.0377,14.4283,72.55,9,0,12.24,clear sky
595,Muisne,EC,0.6,-80.0333,78.3,73,100,4.65,overcast clouds
